location_id,latitude,longitude,bathroom,bedrooms,area_sqft,location_encoded,property_type_House,property_type_Lower Portion,property_type_Upper Portion,city_Islamabad,city_Karachi,city_Lahore,city_Rawalpindi,province_name_Punjab,province_name_Sindh,target_log_price
1448,0.5543062150341483,0.989597138037436,1.1066105151948713,0.8259732108361412,0.23006313272827122,17.383758412269867,True,False,False,False,False,True,False,True,False,17.312018149733785
1504,1.1173643044399815,0.569627283738691,-0.03669364144401687,-0.21356838285507282,0.0009646390843771575,16.67106582391355,False,False,False,False,False,False,True,True,False,16.213405921671733
9058,-1.2653846004406526,-1.251752050287872,-0.03669364144401687,-0.21356838285507282,0.1040589612241295,17.383758412269867,False,False,False,False,True,False,False,False,True,18.132998684833918
3968,0.554246414509743,0.9334047309437153,-1.179997798082905,-1.7728807733918939,-0.19147809557649387,16.538131109045647,False,False,False,False,False,True,False,True,False,14.690979711984754
187,-1.2313303763566765,-1.2304398743729748,0.34440774410227915,0.3062024139905342,0.0880220666690569,16.354336133814446,False,False,False,False,True,False,False,False,True,16.785925074816024
3444,1.1499224281315756,0.5727403495512098,1.4877119007411672,1.8655148045273553,0.09718600641481268,17.79360585668353,True,False,False,True,False,False,False,False,False,17.989897843244528
3444,1.1499224281315756,0.5727403495512098,1.1066105151948713,1.3457440076817482,0.3217025301858289,17.79360585668353,True,False,False,True,False,False,False,False,False,18.099097133618006
4567,0.5819204662808638,0.9905340742587811,-1.179997798082905,-0.21356838285507282,-0.1364944571019593,16.138423814189608,True,False,False,False,False,True,False,True,False,15.789591722875162
6871,-1.228685290434029,-1.24888792005026,-0.03669364144401687,-0.21356838285507282,-0.008199300661378606,16.54009332474212,True,False,False,False,True,False,False,False,True,17.216707972959764
1033,1.1406337757681253,0.5771459303071292,-1.179997798082905,-1.7728807733918939,-0.1364944571019593,16.115956558943132,True,False,False,False,False,False,True,True,False,16.341239282272525
6594,-1.2491348952159262,-1.219476958846456,-0.03669364144401687,1.3457440076817482,-0.1708592311485434,15.817815909140286,True,False,False,False,True,False,False,False,True,15.76142084987672
3520,0.5631395679504246,0.9381863049670013,0.7255091296485752,0.8259732108361412,0.23006313272827122,16.598469328909395,True,False,False,False,False,True,False,True,False,17.50439003707821
8573,0.5866047500857134,0.9962714755751879,-1.179997798082905,-1.7728807733918939,-0.11358460773756988,15.79624774239857,True,False,False,False,False,True,False,True,False,16.066802461833923
9155,1.1303793449355413,0.5897231183867225,0.7255091296485752,0.3062024139905342,-0.09067475837318048,16.073884669086166,True,False,False,False,False,False,True,True,False,16.108045416114916
5027,0.538193235553856,0.5692598219230962,-0.03669364144401687,0.8259732108361412,-0.1823141558307381,15.830413711839864,True,False,False,False,False,False,False,True,False,15.830413711839864
8175,0.5451909841914733,0.9861254465557995,0.34440774410227915,-0.21356838285507282,-0.11358460773756988,17.383758412269867,True,False,False,False,False,True,False,True,False,16.300417291085605
1788,0.5269308940644858,0.9094712664719923,1.1066105151948713,0.8259732108361412,0.0009646390843771575,16.625175839287156,True,False,False,False,False,True,False,True,False,16.993564429978885
6922,-1.2364835506369716,-1.2689468866388478,-1.179997798082905,-0.7333391797006799,-0.186896125703616,17.024450792969414,False,False,False,False,True,False,False,False,True,15.068273812173887
8298,-1.2335921952820037,-1.2706863887161368,-0.03669364144401687,-0.21356838285507282,-0.11358460773756988,16.229021102636104,True,False,False,False,True,False,False,False,True,16.380459992348886
1459,0.5609712552996218,0.9735482584762062,-0.7988964125366089,-0.7333391797006799,-0.1823141558307381,15.339200587807797,True,False,False,False,False,True,False,True,False,14.430696737594902
13847,-1.2006070414820451,-1.185008370215613,-0.03669364144401687,-0.21356838285507282,-0.058600969263035305,16.229021102636104,False,False,False,False,True,False,False,False,True,16.308716093211594
1378,1.1261715625819724,0.5927076030332549,0.7255091296485752,0.8259732108361412,0.046784337813155975,16.246370763738582,True,False,False,True,False,False,False,False,False,16.489659276356317
8566,1.1515962991737771,0.5951710597323058,-1.179997798082905,2.385285601372962,-0.11358460773756988,16.82638919963082,True,False,False,True,False,False,False,False,False,16.733281344102608
495,-1.221404576587752,-1.2362930596777082,-0.03669364144401687,-0.21356838285507282,-0.08151081862742471,16.202779219472358,False,False,False,False,True,False,False,False,True,16.118095750958314
3072,1.1053245561333482,0.5808345644195231,-1.179997798082905,0.8259732108361412,0.046784337813155975,16.440323018008897,True,False,False,False,False,False,True,True,False,16.61887099947687
1421,1.12524818812105,0.6022357111886107,0.7255091296485752,0.8259732108361412,-0.06776490900879106,16.201876591108586,True,False,False,True,False,False,False,False,False,16.166885910365842
7181,-1.2098796564321315,-1.2626570738202254,1.4877119007411672,1.3457440076817482,-0.11816657761044777,15.988179292994708,True,False,False,False,True,False,False,False,True,16.166885910365842
7080,-1.2279236492095653,-1.2710127167464043,-1.179997798082905,-1.7728807733918939,-0.031109150025768015,16.038038431030294,False,True,False,False,True,False,False,False,True,16.52356082573315
9078,-1.206205457848591,-1.2400959543049064,0.34440774410227915,-0.21356838285507282,0.1384237352707136,16.202779219472358,True,False,False,False,True,False,False,False,True,17.216707972959764
3968,0.554246414509743,0.9334047309437153,1.1066105151948713,1.3457440076817482,-0.04485505964440166,16.538131109045647,True,False,False,False,False,True,False,True,False,17.034386422832473
8917,0.5446538667540918,0.596138465424265,-1.179997798082905,-1.7728807733918939,-0.07921983369098577,16.627515784964782,True,False,False,False,False,False,False,True,False,17.034386422832473
1283,0.584971380307768,0.9497979155228675,-0.03669364144401687,1.3457440076817482,-0.1594043064663487,16.37083528491442,True,False,False,False,False,True,False,True,False,16.300417291085605
9644,0.5864275230770234,0.9914085480653717,0.34440774410227915,0.3062024139905342,-0.11358460773756988,15.770105402804118,True,False,False,False,False,True,False,True,False,16.066802461833923
1232,-1.2143421346555525,-1.2587539346347127,-0.4177950269903129,-0.21356838285507282,-0.15711332152990976,16.52807980088718,False,False,False,False,True,False,False,False,True,14.978661680269907
8125,1.1295801672418404,0.5531753045137043,-0.4177950269903129,-0.7333391797006799,-0.06776490900879106,15.323084402140005,True,False,False,False,False,False,True,True,False,15.76142084987672
301,-1.2330708434374196,-1.2428141357782831,1.1066105151948713,0.8259732108361412,0.1384237352707136,16.095392413682845,True,False,False,False,True,False,False,False,True,17.453096744006448
163,1.1555627048652044,0.5461152120455413,0.7255091296485752,0.3062024139905342,0.019292518575888686,17.284065595772727,True,False,False,True,False,False,False,False,False,17.6867115897055
1607,0.5521572016434938,0.9757975147968523,-1.179997798082905,-1.7728807733918939,0.0009646390843771575,17.383758412269867,True,False,False,False,False,True,False,True,False,17.426428497635523
3395,1.1364227315677713,0.5889242088672474,-1.179997798082905,-1.7728807733918939,-0.1548223365934708,15.93652114995132,True,False,False,True,False,False,False,False,False,15.068273812173887
3074,1.1052663865323364,0.5798668540328586,1.1066105151948713,0.8259732108361412,-0.06776490900879106,16.440323018008897,True,False,False,False,False,False,True,True,False,16.454567959008102
235,-1.2167110508836763,-1.244049977506344,-0.4177950269903129,-0.7333391797006799,-0.15711332152990976,16.54009332474212,False,False,False,False,True,False,False,False,True,14.316286451937186
3377,1.1595130731432686,0.5626302745071448,0.7255091296485752,0.3062024139905342,-0.09067475837318048,16.86526770146779,True,False,False,True,False,False,False,False,False,17.034386422832473
213,-1.2607364687710108,-1.2594446775335082,-0.03669364144401687,-0.21356838285507282,0.017001533639449742,17.383758412269867,False,False,False,False,True,False,False,False,True,17.1654146803266
893,0.5759466657133968,0.9402829092398725,-0.03669364144401687,-0.21356838285507282,-0.1823141558307381,16.564727021501454,True,False,False,False,False,True,False,True,False,15.520258832020865
6836,-1.2275825143998929,-1.2379374970066912,-1.179997798082905,-1.7728807733918939,-0.11816657761044777,16.20971228515285,True,False,False,False,True,False,False,False,True,16.88356353960952
8298,-1.2335924671025684,-1.2706848652426057,-0.4177950269903129,-0.7333391797006799,-0.04485505964440166,16.229021102636104,False,False,False,False,True,False,False,False,True,15.76142084987672
3086,0.5528932917348036,0.9500102877330402,2.6310160573800556,3.4248271950641764,1.1464571073038476,17.80989826994824,True,False,False,False,False,True,False,True,False,18.258161826219297
3542,0.5652282371755433,0.93852634425904,-1.179997798082905,-1.7728807733918939,0.0009646390843771575,16.598469328909395,True,False,False,False,False,True,False,True,False,16.951004817371683
11850,0.5787787641850919,0.9837037330314867,-0.4177950269903129,-0.7333391797006799,-0.1823141558307381,15.699988617551044,True,False,False,False,False,True,False,True,False,14.690979711984754
1057,0.5850110661103267,0.967376362508861,-0.03669364144401687,1.8655148045273553,-0.11358460773756988,15.756943768318022,True,False,False,False,False,True,False,True,False,15.830413711839864
10011,-1.2033589528869253,-1.185038230296816,-0.03669364144401687,-0.21356838285507282,-0.04485505964440166,16.229021102636104,True,False,False,False,True,False,False,False,True,16.770420889081343
10522,0.58486129297875,0.9943110698359544,-0.03669364144401687,-0.21356838285507282,-0.1594043064663487,16.11851567136676,True,False,False,False,False,True,False,True,False,15.573368647930426
6739,-1.1970241746085049,-1.2589565566142922,-0.4177950269903129,-0.7333391797006799,-0.16856824621210445,15.492359129933126,True,False,False,False,True,False,False,False,True,15.38412668421143
9582,-1.2166265146878132,-1.212298960959467,0.7255091296485752,0.8259732108361412,0.23006313272827122,16.48496165738805,True,False,False,False,True,False,False,False,True,18.1462439114085
8854,1.1229371696733705,0.5626031566782985,1.1066105151948713,1.3457440076817482,0.16820653944441982,16.453515139056666,True,False,False,False,False,False,True,True,False,16.588099342704055
1312,1.1483301032590159,0.5928602550810255,-1.179997798082905,-1.7728807733918939,0.23006313272827122,16.463021527672,True,False,False,False,False,False,True,True,False,17.439851517607305
492,0.5501074027592388,0.9356408853919964,1.1066105151948713,1.3457440076817482,0.06969418717754539,17.504674796567333,True,False,False,False,False,True,False,True,False,17.281246492014
8917,0.5446538667540918,0.596138465424265,-1.179997798082905,-1.7728807733918939,-0.06776490900879106,16.627515784964782,True,False,False,False,False,False,False,True,False,16.811242881518265
8894,-1.2287945623013499,-1.2492666555699747,1.1066105151948713,1.3457440076817482,-0.026527180152890108,16.54009332474212,True,False,False,False,True,False,False,False,True,17.50439003707821
9935,0.5752717352493192,0.9461720485199338,0.7255091296485752,1.3457440076817482,-0.10442066799181413,16.349586487407404,True,False,False,False,False,True,False,True,False,16.300417291085605
11761,-1.1907255484652932,-1.1816488063858346,-0.4177950269903129,-0.7333391797006799,-0.13191248722908142,16.229021102636104,False,False,False,False,True,False,False,False,True,15.38412668421143
12242,-1.2162620033095097,-1.2203014627212376,0.7255091296485752,0.8259732108361412,0.23006313272827122,17.214237388404783,True,False,False,False,True,False,False,False,True,18.064005814299346
8296,0.541767132348736,0.5932414281583916,0.34440774410227915,-0.21356838285507282,-0.11358460773756988,16.248247968216365,True,False,False,False,False,False,False,True,False,16.066802461833923
314,-1.2289497718442368,-1.2629188065727919,1.1066105151948713,1.3457440076817482,-0.11816657761044777,15.115884901927098,True,False,False,False,True,False,False,False,True,16.759949589762293
1483,-1.257792652046905,-1.2595321249141673,1.1066105151948713,1.3457440076817482,0.23006313272827122,17.383758412269867,True,False,False,False,True,False,False,False,True,18.31532023940565
1666,-1.2574536918017556,-1.2698512205266372,0.34440774410227915,0.3062024139905342,0.20944426830032076,17.21273731068157,False,False,False,False,True,False,False,False,True,17.50439003707821
1483,-1.257792652046905,-1.2595321249141673,1.4877119007411672,1.3457440076817482,0.23006313272827122,17.383758412269867,True,False,False,False,True,False,False,False,True,18.826145858727198
1448,0.5543062150341483,0.989597138037436,1.1066105151948713,0.8259732108361412,0.23006313272827122,17.383758412269867,True,False,False,False,False,True,False,True,False,17.565014657424058
6690,-1.2238718918605778,-1.2611034355136734,-0.4177950269903129,-0.7333391797006799,-0.11587559267400882,16.115350617821495,False,False,False,False,True,False,False,False,True,16.08763654656639
224,-1.2480016752784562,-1.2677281078143305,-0.4177950269903129,-0.7333391797006799,-0.11129362280113095,17.225744311914227,False,False,False,False,True,False,False,False,True,16.588099342704055
1797,0.5281959469762121,0.9063633804694775,-0.03669364144401687,-0.21356838285507282,-0.11358460773756988,16.625175839287156,True,False,False,False,False,True,False,True,False,16.316946591670696
6853,-1.2144160698493618,-1.2277722722208175,1.1066105151948713,1.3457440076817482,-0.008199300661378606,16.202779219472358,True,False,False,False,True,False,False,False,True,17.00598694946304
1800,0.5284348772532649,0.904885915839456,1.4877119007411672,0.8259732108361412,0.0009646390843771575,16.625175839287156,True,False,False,False,False,True,False,True,False,16.705882371415992
3542,0.5652282371755433,0.93852634425904,1.1066105151948713,1.3457440076817482,0.0009646390843771575,16.598469328909395,True,False,False,False,False,True,False,True,False,16.993564429978885
3939,0.5526048901148335,0.9462323780717464,1.1066105151948713,0.8259732108361412,-0.11358460773756988,16.538131109045647,True,False,False,False,False,True,False,True,False,16.61887099947687
10011,-1.2033589528869253,-1.185038230296816,-0.03669364144401687,-0.21356838285507282,-0.04485505964440166,16.229021102636104,True,False,False,False,True,False,False,False,True,16.74403413530075
1503,0.5512118097167686,0.9854999083241155,0.34440774410227915,-0.21356838285507282,0.0009646390843771575,16.832187679196373,False,False,False,False,False,True,False,True,False,16.489659276356317
1447,0.5518386279407558,0.9784562808025368,0.34440774410227915,-0.21356838285507282,-0.10212968305537518,17.383758412269867,True,False,False,False,False,True,False,True,False,16.489659276356317
3299,1.1665676322790697,0.5717443025568733,1.1066105151948713,1.3457440076817482,0.17966146412661455,18.74136770482676,True,False,False,True,False,False,False,False,False,18.31532023940565
6048,1.1482401306518444,0.6085136409136939,-0.03669364144401687,-0.7333391797006799,-0.11358460773756988,15.850207311105448,True,False,False,True,False,False,False,False,False,15.319588176962746
10163,-1.241070794499947,-1.2547645668473713,-0.4177950269903129,-0.7333391797006799,-0.16627726127566553,16.163231411680155,False,False,False,False,True,False,False,False,True,15.150511887854474
10030,-1.2012621290448429,-1.183334682194846,-0.4177950269903129,-0.7333391797006799,-0.13191248722908142,16.229021102636104,False,False,False,False,True,False,False,False,True,15.687312888712007
4265,0.5372274570847204,0.9378986731644099,-1.179997798082905,0.8259732108361412,0.23006313272827122,16.91633679347557,True,False,False,False,False,True,False,True,False,17.19990085520835
6727,-1.2023200546856758,-1.2611403035731172,-0.4177950269903129,-0.7333391797006799,-0.15253135165703188,15.492359129933126,False,False,False,False,True,False,False,False,True,15.150511887854474
6036,1.1452906056958627,0.5672591964826558,0.34440774410227915,0.3062024139905342,0.06969418717754539,13.119850819097518,True,False,False,False,False,False,True,True,False,17.034386422832473
3957,0.5537590402358455,0.9394699837639204,0.34440774410227915,0.8259732108361412,-0.04485505964440166,16.538131109045647,True,False,False,False,False,True,False,True,False,16.489659276356317
232,-1.2247498722870662,-1.2394036879325843,-0.03669364144401687,-0.21356838285507282,-0.04485505964440166,16.20971228515285,False,False,True,False,True,False,False,False,True,15.955576839107596
783,0.589934552012796,0.9573339296895547,0.34440774410227915,0.3062024139905342,-0.1594043064663487,16.26614229751353,True,False,False,False,False,True,False,True,False,15.830413711839864
8954,-1.215731137745135,-1.25774448107331,-0.4177950269903129,-0.7333391797006799,-0.12733051735620352,15.988179292994708,False,False,True,False,True,False,False,False,True,15.520258832020865
1314,1.1381131836644673,0.587220051375871,-0.03669364144401687,-0.21356838285507282,-0.11358460773756988,15.93652114995132,True,False,False,True,False,False,False,False,False,15.955576839107596
1804,0.5245603469129694,0.9127183979552115,-0.03669364144401687,-0.7333391797006799,-0.11358460773756988,16.625175839287156,True,False,False,False,False,True,False,True,False,16.213405921671733
1102,0.5508733931127507,0.9241599888650585,0.34440774410227915,0.3062024139905342,0.0009646390843771575,16.153238896919525,True,False,False,False,False,True,False,True,False,16.648723960844016
7210,-1.2250882888910841,-1.2672207911286248,-0.03669364144401687,-0.21356838285507282,0.6882601200160594,16.52807980088718,True,False,False,False,True,False,False,False,True,18.36938746009113
